mine-clearing operation	地雷除去作業			軍事･防衛			地雷除去作業		mine-clearing operation
minefield	地雷原			軍事･防衛			地雷原		minefield
missile defense	ミサイル防衛			軍事･防衛			ミサイル防衛		missile defense
missile firing exercise	ミサイル発射演習			軍事･防衛			ミサイル発射演習		missile firing exercise
Missile Technology Control Regime	ミサイル関連技術輸出規制	MTCR		軍事･防衛		MTCR	ミサイル関連技術輸出規制	MTCR	Missile Technology Control Regime
mobilization	動員			軍事･防衛			動員		mobilization
mortar	迫撃砲			軍事･防衛			迫撃砲		mortar
mountain warfare	山岳戦			軍事･防衛			山岳戦		mountain warfare
multinational force	多国籍軍			軍事･防衛			多国籍軍		multinational force
mushroom cloud	きのこ雲			軍事･防衛			きのこ雲		mushroom cloud
national defense	国防			軍事･防衛			国防		national defense
national emergency legislation	有事法制			軍事･防衛			有事法制		national emergency legislation
national missile defense	本土ミサイル防衛	NMD	アメリカ	軍事･防衛	アメリカ	NMD	本土ミサイル防衛	NMD	national missile defense
national security	国家安全保障			軍事･防衛			国家安全保障		national security
naval base	海軍基地			軍事･防衛			海軍基地		naval base
naval forces	海軍			軍事･防衛			海軍		naval forces
night landing practice	夜間着陸訓練	NLP		軍事･防衛		NLP	夜間着陸訓練	NLP	night landing practice
nonaggression pact	不可侵条約			軍事･防衛			不可侵条約		nonaggression pact
Nonproliferation Treaty	核不拡散条約	NPT		軍事･防衛		NPT	核不拡散条約	NPT	Nonproliferation Treaty
nuclear arsenal	核兵器保有量			軍事･防衛			核兵器保有量		nuclear arsenal
nuclear attack	核攻撃			軍事･防衛			核攻撃		nuclear attack
nuclear capability	核戦力、核運用能力			軍事･防衛			核戦力、核運用能力		nuclear capability
nuclear crisis	核危機			軍事･防衛			核危機		nuclear crisis
nuclear deterrent	核抑止力			軍事･防衛			核抑止力		nuclear deterrent
nuclear development	核開発			軍事･防衛			核開発		nuclear development
nuclear explosion	核爆発			軍事･防衛			核爆発		nuclear explosion
nuclear force	核戦力			軍事･防衛			核戦力		nuclear force
nuclear power	核保有国			軍事･防衛			核保有国		nuclear power
nuclear proliferation	核拡散			軍事･防衛			核拡散		nuclear proliferation
nuclear stockpile	核保有量			軍事･防衛			核保有量		nuclear stockpile
nuclear strike	核攻撃			軍事･防衛			核攻撃		nuclear strike
nuclear threat	核の脅威			軍事･防衛			核の脅威		nuclear threat
nuclear umbrella	核の傘			軍事･防衛			核の傘		nuclear umbrella
nuclear war	核戦争			軍事･防衛			核戦争		nuclear war
nuclear, biological, chemical	核・生物・化学	NBC		軍事･防衛		NBC	核・生物・化学	NBC	nuclear, biological, chemical
occupation	占領			軍事･防衛			占領		occupation
occupation forces	占領軍			軍事･防衛			占領軍		occupation forces
occupation zone	占領地域			軍事･防衛			占領地域		occupation zone
Opium War	アヘン戦争			軍事･防衛			アヘン戦争		Opium War
Pacific War	太平洋戦争			軍事･防衛			太平洋戦争		Pacific War
paratrooper	落下傘兵			軍事･防衛			落下傘兵		paratrooper
passive sonar	パッシブソナー		周囲の音波を調べるソナー	軍事･防衛	周囲の音波を調べるソナー		パッシブソナー		passive sonar
peacekeeping force	平和維持部隊			軍事･防衛			平和維持部隊		peacekeeping force
periscope	潜望鏡			軍事･防衛			潜望鏡		periscope
periscope depth	潜望鏡深度			軍事･防衛			潜望鏡深度		periscope depth
pogrom	大量虐殺			軍事･防衛			大量虐殺		pogrom
Potsdam conference	ポツダム会談			軍事･防衛			ポツダム会談		Potsdam conference
preemption	先制攻撃			軍事･防衛			先制攻撃		preemption
prisoner of war	捕虜	POW		軍事･防衛		POW	捕虜	POW	prisoner of war
proliferation of arms	武器の拡散			軍事･防衛			武器の拡散		proliferation of arms
proxy war	代理戦争			軍事･防衛			代理戦争		proxy war
radiological attack	放射能攻撃			軍事･防衛			放射能攻撃		radiological attack
rapid force	緊急部隊			軍事･防衛			緊急部隊		rapid force
rapid reaction force	即応部隊			軍事･防衛			即応部隊		rapid reaction force
rebel army	反乱軍			軍事･防衛			反乱軍		rebel army
regional security	地域安全保障			軍事･防衛			地域安全保障		regional security
right of belligerency	交戦権			軍事･防衛			交戦権		right of belligerency
right of self-defense	自衛権			軍事･防衛			自衛権		right of self-defense
right to collective defense	集団的自衛権			軍事･防衛			集団的自衛権		right to collective defense
satellite photograph	衛星写真			軍事･防衛			衛星写真		satellite photograph
SEAL	海軍特殊部隊		アメリカ	軍事･防衛	アメリカ		海軍特殊部隊		SEAL
security force	治安部隊			軍事･防衛			治安部隊		security force
Self-Defense Force	自衛隊	SDF		軍事･防衛		SDF	自衛隊	SDF	Self-Defense Force
silent war	静かな戦争			軍事･防衛			静かな戦争		silent war
skipper	艦長			軍事･防衛			艦長		skipper
sniper	狙撃手			軍事･防衛			狙撃手		sniper
sonar	ソナー、音波水中探知機			軍事･防衛			ソナー、音波水中探知機		sonar
sonar room	ソナー室			軍事･防衛			ソナー室		sonar room
Special Air Service	特殊空挺部隊	SAS	イギリス	軍事･防衛	イギリス	SAS	特殊空挺部隊	SAS	Special Air Service
Special Boat Squadron	海兵隊特別舟艇隊	SBS	イギリス	軍事･防衛	イギリス	SBS	海兵隊特別舟艇隊	SBS	Special Boat Squadron
special forces	特殊部隊			軍事･防衛			特殊部隊		special forces
special-ops forces	特殊作戦部隊			軍事･防衛			特殊作戦部隊		special-ops forces
spy agency	諜報機関、情報機関			軍事･防衛			諜報機関、情報機関		spy agency
Strategic Arms Reduction Talks	戦略兵器削減交渉	START		軍事･防衛		START	戦略兵器削減交渉	START	Strategic Arms Reduction Talks
subcritical nuclear experiment	臨界前核実験			軍事･防衛			臨界前核実験		subcritical nuclear experiment
subcritical nuclear test	臨界前核実験			軍事･防衛			臨界前核実験		subcritical nuclear test
subjugation	征服			軍事･防衛			征服		subjugation
suicide bomb attack	自爆攻撃			軍事･防衛			自爆攻撃		suicide bomb attack
suicide bomber	自爆テロ犯			軍事･防衛			自爆テロ犯		suicide bomber
surprise attack	奇襲攻撃			軍事･防衛			奇襲攻撃		surprise attack
surveillance flight	偵察飛行			軍事･防衛			偵察飛行		surveillance flight
suspicious boats	不審船			軍事･防衛			不審船		suspicious boats
terrorist organization	テロ集団、テロ組織			軍事･防衛			テロ集団、テロ組織		terrorist organization
theater missile defense	戦域ミサイル防衛	TMD		軍事･防衛		TMD	戦域ミサイル防衛	TMD	theater missile defense
three nonnuclear principles	非核三原則			軍事･防衛			非核三原則		three nonnuclear principles
total war	全面戦争			軍事･防衛			全面戦争		total war
truce	休戦			軍事･防衛			休戦		truce
U.N. observer force	国連監視軍			軍事･防衛			国連監視軍		U.N. observer force
U.N. peacekeeping forces	国連平和維持軍			軍事･防衛			国連平和維持軍		U.N. peacekeeping forces
U.S. Navy	アメリカ海軍	USN		軍事･防衛		USN	アメリカ海軍	USN	U.S. Navy
U.S. Pacific Fleet	アメリカ太平洋艦隊			軍事･防衛			アメリカ太平洋艦隊		U.S. Pacific Fleet
U.S.-Japan security guidelines	日米防衛協力の指針(ガイドライン)			軍事･防衛			日米防衛協力の指針(ガイドライン)		U.S.-Japan security guidelines
underground nuclear test	地下核実験			軍事･防衛			地下核実験		underground nuclear test
unexploded bomb	不発弾			軍事･防衛			不発弾		unexploded bomb
use of force	武力行使			軍事･防衛			武力行使		use of force
Vietnam War	ベトナム戦争			軍事･防衛			ベトナム戦争		Vietnam War
war crime	戦争犯罪			軍事･防衛			戦争犯罪		war crime
war criminal	戦犯			軍事･防衛			戦犯		war criminal
war damage	戦争被害			軍事･防衛			戦争被害		war damage
